altruistic_probability,selfish_probability,cost_of_altruism,benefit_from_altruism,disease,harshness,run_number,ticks,altruists,selfish,void,max_pink,max_green,max_black
0.26,0.26,0.0,0.0,1.0,0.25,4,2117.0,0.0,1167.0,514.0,650.0,1213.0,666.0
0.26,0.26,0.0,0.0,1.0,0.25,5,735.0,0.0,1165.0,516.0,572.0,1236.0,749.0
0.26,0.26,0.0,0.0,1.0,0.25,6,1544.0,1175.0,0.0,506.0,1197.0,958.0,696.0
0.26,0.26,0.0,0.0,1.0,0.25,7,9058.0,1104.0,0.0,577.0,1192.0,1180.0,646.0
0.26,0.26,0.0,0.0,1.0,0.25,8,9003.0,0.0,1167.0,514.0,927.0,1197.0,724.0
0.26,0.26,0.0,0.0,1.0,0.25,9,2599.0,0.0,1165.0,516.0,731.0,1189.0,680.0
0.26,0.26,0.0,0.0,1.0,0.5,0,2188.0,820.0,0.0,861.0,855.0,436.0,988.0
0.26,0.26,0.0,0.0,1.0,0.5,1,1929.0,854.0,0.0,827.0,854.0,453.0,984.0
0.26,0.26,0.0,0.0,1.0,0.5,2,1350.0,0.0,800.0,881.0,553.0,903.0,991.0
0.26,0.26,0.0,0.0,1.0,0.5,3,7171.0,869.0,0.0,812.0,869.0,818.0,991.0
0.26,0.26,0.0,0.0,1.0,0.5,4,2585.0,758.0,0.0,923.0,835.0,839.0,1002.0
0.26,0.26,0.0,0.0,1.0,0.5,5,927.0,0.0,780.0,901.0,446.0,856.0,956.0
0.26,0.26,0.0,0.0,1.0,0.5,6,915.0,827.0,0.0,854.0,839.0,440.0,945.0
0.26,0.26,0.0,0.0,1.0,0.5,7,731.0,821.0,0.0,860.0,876.0,546.0,962.0
0.26,0.26,0.0,0.0,1.0,0.5,8,6015.0,843.0,0.0,838.0,877.0,702.0,1012.0
0.26,0.26,0.0,0.0,1.0,0.5,9,3238.0,813.0,0.0,868.0,867.0,619.0,1013.0
0.26,0.26,0.0,0.0,1.0,0.75,0,68.0,0.0,7.0,1674.0,390.0,435.0,1674.0
0.26,0.26,0.0,0.0,1.0,0.75,1,51.0,0.0,17.0,1664.0,406.0,377.0,1664.0
0.26,0.26,0.0,0.0,1.0,0.75,2,86.0,20.0,0.0,1661.0,374.0,395.0,1661.0
0.26,0.26,0.0,0.0,1.0,0.75,3,63.0,30.0,0.0,1651.0,382.0,395.0,1653.0
0.26,0.26,0.0,0.0,1.0,0.75,4,60.0,0.0,50.0,1631.0,394.0,415.0,1641.0
0.26,0.26,0.0,0.0,1.0,0.75,5,89.0,4.0,0.0,1677.0,403.0,389.0,1677.0
0.26,0.26,0.0,0.0,1.0,0.75,6,80.0,0.0,8.0,1673.0,386.0,413.0,1677.0
0.26,0.26,0.0,0.0,1.0,0.75,7,53.0,29.0,0.0,1652.0,412.0,416.0,1652.0
